started_at,completed_at,object_id,shape_kind,ground_truth_defect,barcode_success,barcode_value,barcode_confidence,shape_is_defect,shape_label,shape_score,final_result,reason,plc_signal
2026-03-04 14:19:36,2026-03-04 14:19:37,141937-0001,SmallBox,None,true,PRD-260304-4587-FAIL,0.9174,false,Normal,0.1095,Ng,Barcode lot marked as FAIL,NG
2026-03-04 14:19:38,2026-03-04 14:19:39,141938-0002,MediumBox,None,true,PRD-260304-1996-OK,0.9206,false,Normal,0.0540,Ok,All checks passed,OK
2026-03-04 14:19:39,2026-03-04 14:19:39,141939-0003,LargeBox,None,true,PRD-260304-6358-OK,0.9899,false,Normal,0.2446,Ok,All checks passed,OK
2026-03-04 14:19:40,2026-03-04 14:19:41,141941-0004,SmallBox,None,true,PRD-260304-1?45-OK,0.9172,false,Normal,0.1822,Ok,All checks passed,OK
2026-03-04 14:19:41,2026-03-04 14:19:42,141941-0005,MediumBox,None,true,PRD-260304-1563-OK,0.9470,false,Normal,0.2406,Ok,All checks passed,OK
2026-03-04 14:19:42,2026-03-04 14:19:42,141942-0006,SmallBox,None,true,PRD-260304-2296-OK,0.9457,false,Normal,0.0641,Ok,All checks passed,OK
2026-03-04 14:19:42,2026-03-04 14:19:42,141942-0007,MediumBox,None,true,PRD-260304-1766-OK,0.9610,true,Crack,0.6598,Ng,Shape defect detected: Crack (0.66),NG
2026-03-04 14:19:42,2026-03-04 14:19:43,141942-0008,LargeBox,None,true,PRD-260304-8355-OK,0.8635,false,Normal,0.1001,Ok,All checks passed,OK
2026-03-04 14:19:42,2026-03-04 14:19:43,141943-0009,LargeBox,Crack,true,PRD-260304-6166-OK,0.9146,true,Crack,0.6807,Ng,Shape defect detected: Crack (0.68),NG
2026-03-04 14:19:42,2026-03-04 14:19:43,141943-0010,MediumBox,None,true,PRD-260304-4054-OK,0.8702,false,Normal,0.1511,Ok,All checks passed,OK
2026-03-04 14:19:44,2026-03-04 14:19:45,141944-0011,MediumBox,None,true,PRD-260304-4879-FAIL,0.9168,false,Normal,0.1519,Ng,Barcode lot marked as FAIL,NG
2026-03-04 14:19:45,2026-03-04 14:19:46,141945-0012,MediumBox,Scratch,true,PRD-260304-4230-OK,0.8937,true,Scratch,0.7877,Ng,Shape defect detected: Scratch (0.79),NG
2026-03-04 14:19:46,2026-03-04 14:19:47,141946-0013,LargeBox,None,true,PRD-260304-6189-OK,0.9635,false,Normal,0.1774,Ok,All checks passed,OK
2026-03-04 14:19:47,2026-03-04 14:19:48,141947-0014,LargeBox,None,true,PRD-260304-8409-OK,0.9299,false,Normal,0.2677,Ok,All checks passed,OK
2026-03-04 14:19:48,2026-03-04 14:19:49,141948-0015,LargeBox,None,true,PRD-260304-4361-OK,0.9584,false,Normal,0.3260,Ok,All checks passed,OK
2026-03-04 14:19:49,2026-03-04 14:19:50,141949-0016,LargeBox,Crack,true,PRD-260304-7754-OK,0.9419,false,Normal,0.3724,Ok,All checks passed,OK
2026-03-04 14:43:13,2026-03-04 14:43:13,144313-0018,MediumBox,Stain,true,PRD-260304-9957-OK,0.8884,false,Normal,0.5179,Ok,All checks passed,OK
2026-03-04 14:43:14,2026-03-04 14:43:14,144314-0019,SmallBox,None,false,,0.2330,false,Normal,0.2013,Ng,Barcode read failed,NG
2026-03-04 14:43:15,2026-03-04 14:43:15,144315-0020,SmallBox,None,true,PRD-260304-5841-OK,0.8820,false,Normal,0.0405,Ok,All checks passed,OK
2026-03-04 14:43:16,2026-03-04 14:43:16,144316-0021,LargeBox,None,true,PRD-260304-8349-OK,0.8808,false,Normal,0.2515,Ok,All checks passed,OK
2026-03-04 14:43:17,2026-03-04 14:43:17,144317-0022,MediumBox,None,true,PRD-260304-2845-OK,0.9378,false,Normal,0.3143,Ok,All checks passed,OK
2026-03-04 14:43:18,2026-03-04 14:43:18,144318-0023,MediumBox,Crack,true,PRD-260304-5586-OK,0.9597,true,Crack,0.9689,Ng,Shape defect detected: Crack (0.97),NG
2026-03-04 14:43:19,2026-03-04 14:43:20,144319-0024,LargeBox,None,true,PRD-260304-6886-OK,0.9002,false,Normal,0.1681,Ok,All checks passed,OK
2026-03-04 14:43:20,2026-03-04 14:43:21,144320-0025,MediumBox,None,true,PRD-260304-2001-FAIL,0.8601,false,Normal,0.0936,Ng,Barcode lot marked as FAIL,NG
2026-03-04 14:43:21,2026-03-04 14:43:22,144321-0026,MediumBox,None,true,PRD-260304-6865-OK,0.9411,false,Normal,0.1614,Ok,All checks passed,OK
2026-03-04 14:43:22,2026-03-04 14:43:23,144322-0027,MediumBox,None,true,PRD-260304-8267-OK,0.9141,false,Normal,0.1460,Ok,All checks passed,OK
